Server,Longitude (radians),Latitude (radians)
Moscow,0.6565653407579628,0.9730427698827335
Petropavl,1.2068951777540788,0.9576045647039728
Brandon,-1.7444565350084547,0.8700175025739575
Seoul,2.2169977104682994,0.6550674468340237
San Francisco,-2.136829240137056,0.6592801829561475
Toronto,-1.3848666633793285,0.7618548935185211
Okinawa,2.2284216060075956,0.4574911664133124
Winnipeg,-1.6953858002371782,0.8708333741860949
Berlin,0.23396058337838394,0.916647062773762
Lagos,0.0594537333979758,0.11284290143087683
Tokyo,2.4406593153701754,0.6222593060603949
Seoul,2.2169977104682994,0.6550674468340237
Ketchikan,-2.2976824491922825,0.9658967636065381
Tampa Bay,-1.4390694515496316,0.48806661219461994
Beijing,2.0312723203883847,0.69667728302546
Manila,2.1115730168637588,0.25480955358442237
Tsukuba,2.4452062820440554,0.6318091892219473
Shanghai,2.1200369561647205,0.5449679062813091
Tuvalu,3.1275636621556777,-0.14872207119643724
Vienna,0.2855960620321736,0.8414238083451195
Manila,2.1115730168637588,0.25480955358442237
Vancouver,-2.1487835063294485,0.8595099397985433
Stockholm,0.3152669692777297,1.034920634919473
LA,-2.0637415880344463,0.5943236184128513
Port of Spain,-1.0737476044976906,0.18624525385091376
Vancouver,-2.1487835063294485,0.8595099397985433
Winnipeg,-1.6953858002371782,0.8708333741860949
Tampa Bay,-1.4390694515496316,0.48806661219461994